reward,return,success
-70.96,-15.5,0.0
-104.05,-26.12,0.0
-53.07,-16.37,0.0
-52.15,-8.12,0.0
-90.75,-48.11,0.0
-177.73,-65.06,0.0
-76.31,-17.29,0.0
-39.95,5.79,0.0
-121.31,-65.57,0.0
-59.16,-21.46,0.0
-75.32,-24.12,0.0
-158.68,-77.5,0.0
-6.12,1.7,0.0
0.22,11.71,0.0
-67.64,-16.36,0.0
-42.6,-12.64,0.0
-72.85,-0.1,0.0
-3.82,13.73,0.0
31.79,36.67,0.0
-194.97,8.08,0.0
-104.05,-18.96,0.0
-60.1,-10.5,0.0
-84.81,-7.07,0.0
-70.49,-35.57,0.0
-38.56,3.75,0.0
-49.24,-16.0,0.0
-44.42,-12.02,0.0
-168.89,-39.95,0.0
-5.67,-6.08,0.0
-3.65,8.56,0.0
-135.13,-28.61,0.0
-112.62,-10.42,0.0
-65.0,6.99,0.0
-102.03,-34.94,0.0
47.97,31.01,0.0
-163.63,-31.15,0.0
-136.08,-33.12,0.0
-89.6,-41.83,0.0
-29.95,-6.98,0.0
-23.65,18.06,0.0
-48.04,-8.29,0.0
-50.09,-12.81,0.0
-135.33,-18.66,0.0
-1.87,18.62,0.0
-18.16,4.25,0.0
-176.58,8.86,0.0
-151.73,-82.95,0.0
-8.75,15.21,0.0
-113.8,-5.2,0.0
-6.82,10.4,0.0
-32.19,11.86,0.0
-81.12,-15.54,0.0
-62.23,8.4,0.0
-126.89,-12.75,0.0
-130.88,-22.08,0.0
6.52,17.48,0.0
-73.25,-1.19,0.0
-22.52,-6.27,0.0
-79.01,-13.41,0.0
-10.8,5.32,0.0
-141.71,-31.12,0.0
-200.06,-39.01,0.0
-73.28,-4.73,0.0
-55.95,-14.39,0.0
-47.48,13.93,0.0
-22.29,5.58,0.0
-42.88,13.71,0.0
-83.09,-16.62,0.0
-53.11,1.75,0.0
-94.4,4.42,0.0
-93.06,-16.53,0.0
-216.6,-29.63,0.0
-253.66,-46.93,0.0
3.59,7.37,0.0
-225.99,-59.74,0.0
-277.34,-18.2,0.0
-45.7,-14.81,0.0
-47.9,-2.56,0.0
-103.55,1.66,0.0
-57.07,-9.11,0.0
-302.72,-38.65,0.0
-58.28,-3.51,0.0
8.38,26.05,0.0
36.16,20.22,0.0
9.28,24.23,0.0
-64.43,-16.09,0.0
-120.15,-5.54,0.0
-58.67,-12.16,0.0
-94.42,-2.01,0.0
-54.76,-15.23,0.0
-104.76,-49.65,0.0
-84.98,-27.68,0.0
-16.01,13.96,0.0
-176.04,-18.04,0.0
-44.89,6.91,0.0
-94.24,12.94,0.0
-39.59,-5.35,0.0
-80.32,-24.9,0.0
-53.3,-3.95,0.0
-47.41,-7.31,0.0
-102.24,-8.26,0.0
-72.24,2.68,0.0
-119.49,12.92,0.0
12.79,7.46,0.0
-33.01,22.14,0.0
5.69,19.33,0.0
-9.04,6.52,0.0
-108.37,6.47,0.0
14.33,9.5,0.0
45.47,37.63,0.0
-78.51,-11.13,0.0
-101.88,-11.64,0.0
-25.69,5.36,0.0
-73.45,4.23,0.0
-41.18,1.05,0.0
-20.76,18.48,0.0
-54.87,6.2,0.0
-45.38,-8.54,0.0
-90.45,-9.38,0.0
-37.8,6.47,0.0
-87.77,-7.16,0.0
-30.02,-6.47,0.0
-59.02,-15.54,0.0
-30.59,8.37,0.0
-23.28,-8.89,0.0
-97.52,-30.88,0.0
-47.4,1.66,0.0
-96.75,-6.47,0.0
-127.21,-5.62,0.0
-91.85,14.73,0.0
38.04,32.16,0.0
-0.08,24.44,0.0
-68.88,-13.46,0.0
-106.68,-42.19,0.0
-111.67,5.45,0.0
-17.48,11.77,0.0
-3.68,15.02,0.0
-57.88,-6.46,0.0
-85.75,15.04,0.0
-13.7,11.15,0.0
-18.26,5.02,0.0
4.87,20.47,0.0
-36.35,1.7,0.0
-61.31,-13.72,0.0
28.4,14.19,0.0
29.78,15.82,0.0
-208.29,14.18,0.0
-4.3,21.44,0.0
-354.32,23.1,0.0
-38.42,6.08,0.0
41.95,32.17,0.0
121.73,28.75,0.0
-32.78,-2.4,0.0
86.65,25.68,0.0
13.36,24.88,0.0
114.88,30.15,0.0
105.17,25.31,0.0
66.93,22.53,0.0
50.66,12.99,0.0
-243.32,-4.04,0.0
-8.26,2.14,0.0
-49.08,8.57,0.0
-31.12,20.85,0.0
8.16,14.17,0.0
-162.19,-26.87,0.0
4.24,11.28,0.0
58.15,15.48,0.0
-75.05,-17.51,0.0
-96.16,-19.71,0.0
-24.62,-2.55,0.0
-251.4,3.63,0.0
64.28,17.59,0.0
20.42,27.78,0.0
-60.76,9.45,0.0
62.35,26.26,0.0
99.34,32.07,0.0
-141.34,-61.29,0.0
109.8,24.11,0.0
-15.4,4.53,0.0
-38.33,0.69,0.0
16.96,22.1,0.0
-78.87,6.83,0.0
-35.42,32.59,0.0
-8.19,19.66,0.0
18.11,35.89,0.0
-296.06,34.9,0.0
22.09,34.91,0.0
54.1,17.13,0.0
-43.16,6.51,0.0
80.94,20.51,0.0
-64.47,-0.77,0.0
80.94,7.26,0.0
-77.44,-23.35,0.0
-29.48,17.78,0.0
-75.0,11.56,0.0
-49.53,6.3,0.0
-80.6,-15.1,0.0
75.77,25.27,0.0
9.66,26.75,0.0
-41.99,1.17,0.0
80.51,29.26,0.0
42.44,30.29,0.0
147.34,62.46,0.0
-132.68,-56.29,0.0
138.61,26.05,0.0
99.39,29.17,0.0
68.24,6.68,0.0
-68.71,-20.02,0.0
74.19,7.59,0.0
-42.1,12.67,0.0
-75.22,7.4,0.0
107.87,47.14,0.0
35.39,19.06,0.0
127.3,40.23,0.0
63.74,37.02,0.0
79.35,3.5,0.0
-28.02,17.43,0.0
-78.58,13.23,0.0
-6.8,5.31,0.0
-5.01,1.27,0.0
159.78,66.32,0.0
-71.14,-15.94,0.0
23.17,1.6,0.0
88.56,48.97,0.0
15.08,20.77,0.0
12.88,22.07,0.0
-59.35,-9.67,0.0
78.21,38.65,0.0
77.03,24.25,0.0
-326.93,12.47,0.0
101.92,39.27,0.0
101.58,28.64,0.0
9.14,20.04,0.0
-55.36,-17.55,0.0
-331.96,32.81,0.0
-42.27,15.58,0.0
-17.41,1.72,0.0
6.43,20.45,0.0
-149.03,4.89,0.0
-14.43,6.55,0.0
40.83,38.1,0.0
-16.54,8.98,0.0
-4.79,18.85,0.0
66.71,15.84,0.0
96.69,47.8,0.0
38.74,28.17,0.0
-54.2,-18.8,0.0
-47.81,-1.95,0.0
44.38,21.66,0.0
63.49,17.83,0.0
20.21,33.62,0.0
82.39,16.8,0.0
-8.83,-2.62,0.0
76.27,3.46,0.0
-13.52,3.97,0.0
50.77,7.1,0.0
-36.56,9.31,0.0
115.73,42.73,0.0
47.75,1.04,0.0
-65.16,24.04,0.0
88.98,11.63,0.0
-134.28,-62.69,0.0
10.26,8.04,0.0
73.04,43.07,0.0
80.11,67.5,0.0
-48.82,20.22,0.0
-60.67,-22.54,0.0
146.82,43.14,0.0
109.12,28.84,0.0
-28.95,26.69,0.0
119.88,37.29,0.0
-64.5,15.56,0.0
48.0,23.27,0.0
15.49,16.71,0.0
-34.91,19.39,0.0
-14.87,5.98,0.0
75.28,27.33,0.0
78.34,22.23,0.0
111.66,33.39,0.0
107.29,43.65,0.0
6.19,23.72,0.0
126.19,37.79,0.0
-7.09,0.83,0.0
89.57,30.23,0.0
80.72,39.84,0.0
83.48,15.3,0.0
74.64,45.88,0.0
84.71,33.87,0.0
42.42,28.97,0.0
266.51,66.56,1.0
139.37,49.88,0.0
154.72,43.05,0.0
71.28,38.55,0.0
20.88,12.27,0.0
74.19,14.4,0.0
-200.67,2.26,0.0
110.45,57.41,0.0
107.47,46.02,0.0
-45.05,10.86,0.0
101.51,35.0,0.0
145.49,42.12,0.0
77.52,24.77,0.0
-9.83,15.34,0.0
131.66,57.09,0.0
190.13,87.42,0.0
66.68,29.17,0.0
1.31,33.75,0.0
30.11,34.62,0.0
128.4,45.94,0.0
-7.04,13.08,0.0
83.54,9.11,0.0
31.23,18.99,0.0
-14.49,33.23,0.0
4.8,16.32,0.0
-25.05,-0.61,0.0
107.36,35.05,0.0
125.36,49.68,0.0
110.85,14.81,0.0
126.64,50.91,0.0
-39.89,6.86,0.0
-118.8,58.88,0.0
-10.08,4.97,0.0
116.9,28.7,0.0
106.49,30.08,0.0
144.81,56.04,0.0
79.35,19.85,0.0
-34.53,0.58,0.0
-157.51,-55.97,0.0
113.54,18.8,0.0
71.23,26.27,0.0
168.4,58.7,0.0
128.06,47.5,0.0
126.17,45.88,0.0
249.71,48.48,1.0
21.73,12.66,0.0
101.63,33.7,0.0
106.69,7.23,0.0
129.88,28.25,0.0
-17.28,14.36,0.0
178.06,66.45,0.0
122.58,33.18,0.0
-193.46,65.03,0.0
185.04,38.12,0.0
107.95,18.55,0.0
240.82,51.91,1.0
147.41,28.27,0.0
0.12,6.55,0.0
136.36,46.55,0.0
130.6,46.05,0.0
40.39,23.18,0.0
259.27,24.74,1.0
243.69,41.83,1.0
255.55,62.98,1.0
-78.49,13.68,0.0
-311.62,14.73,0.0
149.81,27.98,0.0
120.08,32.58,0.0
14.89,12.73,0.0
146.41,22.93,0.0
138.83,37.62,0.0
134.47,55.24,0.0
134.28,46.72,0.0
0.18,46.92,0.0
140.84,56.18,0.0
235.3,30.65,1.0
60.53,63.74,0.0
-54.13,-25.24,0.0
169.06,75.3,0.0
303.06,96.72,1.0
269.07,86.8,1.0
146.72,59.05,0.0
-112.9,-51.0,0.0
174.75,87.3,0.0
106.92,28.76,0.0
110.64,17.84,0.0
3.32,13.57,0.0
131.64,38.56,0.0
139.22,31.97,0.0
168.31,59.46,0.0
122.47,33.52,0.0
98.62,33.13,0.0
106.57,41.5,0.0
157.15,36.21,0.0
145.63,49.14,0.0
171.97,38.5,0.0
118.33,72.99,0.0
50.61,37.68,0.0
118.42,67.19,0.0
123.98,32.49,0.0
120.17,51.33,0.0
-152.98,-16.5,0.0
137.01,68.55,0.0
99.32,38.94,0.0
113.67,32.66,0.0
129.88,41.15,0.0
-1.05,15.64,0.0
145.25,72.02,0.0
-250.22,40.8,0.0
-135.22,-9.63,0.0
45.12,35.62,0.0
-235.46,-0.82,0.0
27.07,17.43,0.0
92.46,60.89,0.0
257.36,39.33,1.0
171.41,52.0,0.0
253.08,51.51,1.0
148.46,72.18,0.0
146.36,63.22,0.0
-40.7,-14.44,0.0
-7.65,11.62,0.0
155.91,40.26,0.0
-10.71,4.03,0.0
267.17,58.24,1.0
128.08,23.58,0.0
101.05,41.5,0.0
-49.89,41.39,0.0
250.22,64.43,1.0
-3.27,9.01,0.0
71.28,19.8,0.0
33.82,58.45,0.0
229.69,46.0,1.0
103.57,27.45,0.0
53.62,67.09,0.0
105.97,35.67,0.0
19.12,42.57,0.0
171.33,45.9,0.0
262.26,80.57,1.0
14.28,53.97,0.0
149.5,48.6,0.0
146.22,72.09,0.0
175.49,63.49,0.0
23.03,26.02,0.0
135.28,63.67,0.0
132.42,69.34,0.0
33.53,24.84,0.0
157.57,40.43,0.0
-43.36,-14.14,0.0
228.14,41.81,1.0
134.38,59.28,0.0
130.36,42.67,0.0
136.87,49.98,0.0
140.96,69.76,0.0
132.9,49.18,0.0
154.2,64.73,0.0
166.41,79.63,0.0
53.52,9.29,0.0
164.38,39.31,0.0
-131.71,-50.62,0.0
151.63,46.66,0.0
123.03,37.64,0.0
127.99,10.19,0.0
273.44,56.9,1.0
102.46,42.55,0.0
245.53,23.6,1.0
180.38,58.37,0.0
142.95,50.47,0.0
246.5,58.03,1.0
160.89,65.42,0.0
-18.31,12.47,0.0
133.01,45.13,0.0
116.89,42.56,0.0
245.47,48.97,1.0
119.13,47.45,0.0
256.43,77.89,1.0
104.51,25.75,0.0
221.5,36.79,1.0
111.35,33.65,0.0
253.8,40.81,1.0
122.62,44.45,0.0
261.6,47.99,1.0
107.66,62.67,0.0
269.78,56.57,1.0
221.56,39.76,1.0
-235.82,22.04,0.0
-260.38,7.36,0.0
139.4,46.81,0.0
99.02,32.08,0.0
136.2,49.28,0.0
-2.88,41.4,0.0
277.61,39.49,1.0
162.12,43.15,0.0
125.29,61.47,0.0
145.55,51.75,0.0
239.96,57.77,1.0
267.37,47.19,1.0
129.95,43.2,0.0
77.09,27.27,0.0
171.3,53.18,0.0
113.98,42.61,0.0
247.52,49.67,1.0
242.45,45.77,1.0
32.63,23.77,0.0
-13.32,14.08,0.0
283.8,75.33,1.0
155.61,62.09,0.0
106.98,52.83,0.0
136.64,42.86,0.0
238.98,41.35,1.0
47.84,25.16,0.0
22.25,15.68,0.0
35.78,24.95,0.0
233.27,47.46,1.0
262.46,67.04,1.0
106.38,40.99,0.0
117.15,38.46,0.0
144.37,42.04,0.0
257.09,38.49,1.0
-54.69,5.13,0.0
136.23,44.48,0.0
275.52,80.45,1.0
28.41,13.79,0.0
139.28,66.97,0.0
103.78,38.27,0.0
235.9,46.25,1.0
235.29,54.0,1.0
45.09,14.68,0.0
145.66,52.75,0.0
236.06,70.75,1.0
47.67,43.76,0.0
239.86,48.91,1.0
256.06,63.92,1.0
79.54,50.18,0.0
97.34,57.79,0.0
249.26,65.0,1.0
138.17,62.58,0.0
28.77,40.27,0.0
111.38,52.7,0.0
31.58,20.27,0.0
173.63,68.17,0.0
234.07,48.28,1.0
209.02,40.69,1.0
179.87,46.97,0.0
301.0,59.24,1.0
254.05,59.49,1.0
216.45,55.22,1.0
78.94,44.1,0.0
299.6,68.12,1.0
79.25,60.88,0.0
187.36,46.84,0.0
215.87,57.11,1.0
198.8,43.78,0.0
192.67,36.62,0.0
115.42,59.5,0.0
45.12,20.66,0.0
21.4,25.36,0.0
249.65,78.08,1.0
7.46,8.78,0.0
117.04,69.7,0.0
273.58,60.33,1.0
13.18,36.7,0.0
237.73,42.33,1.0
28.92,22.14,0.0
202.25,39.14,1.0
245.25,45.14,1.0
256.98,48.29,1.0
141.98,54.4,0.0
141.51,65.49,0.0
195.36,38.3,0.0
263.51,57.81,1.0
250.15,50.94,1.0
252.38,54.93,1.0
139.69,45.81,0.0
128.96,52.25,0.0
124.5,33.72,0.0
139.27,53.82,0.0
-333.1,-40.16,0.0
239.03,57.54,1.0
249.45,66.01,1.0
237.93,59.26,1.0
226.73,42.03,1.0
122.03,48.18,0.0
146.25,79.32,0.0
33.74,30.88,0.0
229.85,57.06,1.0
-380.7,-34.69,0.0
154.28,24.48,0.0
235.27,59.7,1.0
-116.63,-8.12,0.0
242.43,44.9,1.0
260.03,48.6,1.0
279.49,50.77,1.0
-94.73,18.55,0.0
244.6,49.01,1.0
25.78,33.07,0.0
260.03,63.64,1.0
258.8,48.51,1.0
260.29,71.74,1.0
-128.89,20.19,0.0
254.93,62.65,1.0
-3.62,31.88,0.0
292.98,76.98,1.0
237.23,41.15,1.0
252.4,46.94,1.0
166.78,37.61,0.0
238.78,39.31,1.0
276.75,28.62,1.0
246.7,66.4,1.0
240.42,39.41,1.0
137.57,30.78,0.0
219.93,31.31,1.0
275.83,50.52,1.0
164.27,67.03,0.0
128.78,52.21,0.0
131.37,43.2,0.0
238.14,48.85,1.0
238.07,47.95,1.0
237.78,53.01,1.0
-234.07,12.26,0.0
199.97,63.94,0.0
163.63,62.33,0.0
216.96,55.7,1.0
242.1,45.96,1.0
188.04,34.55,0.0
283.97,82.77,1.0
216.06,20.57,1.0
171.91,66.83,0.0
129.91,45.72,0.0
227.09,47.26,1.0
275.42,45.82,1.0
162.87,64.8,0.0
287.24,68.9,1.0
298.33,90.59,1.0
261.48,78.46,1.0
248.6,82.26,1.0
224.89,47.71,1.0
239.71,44.61,1.0
242.28,54.56,1.0
270.66,88.12,1.0
119.01,43.47,0.0
242.81,55.85,1.0
158.64,50.62,0.0
171.0,74.14,0.0
246.47,35.42,1.0
225.03,57.09,1.0
37.97,36.39,0.0
290.6,56.42,1.0
289.18,63.39,1.0
292.08,94.13,1.0
16.22,23.89,0.0
28.07,10.21,0.0
298.18,81.06,1.0
258.54,52.97,1.0
255.38,68.78,1.0
285.51,82.16,1.0
144.07,57.28,0.0
306.28,73.28,1.0
226.74,23.11,1.0
59.26,42.32,0.0
163.04,46.42,0.0
243.99,32.06,1.0
271.19,79.51,1.0
256.86,58.13,1.0
251.1,69.96,1.0
271.63,46.72,1.0
244.72,40.41,1.0
256.26,56.14,1.0
231.81,36.37,1.0
251.46,37.46,1.0
163.94,84.13,0.0
261.54,56.35,1.0
52.68,36.48,0.0
254.48,69.85,1.0
253.08,69.3,1.0
232.74,42.01,1.0
250.24,56.99,1.0
275.35,73.74,1.0
257.57,54.64,1.0
262.24,57.17,1.0
285.7,80.43,1.0
255.51,63.38,1.0
244.92,55.13,1.0
243.19,47.58,1.0
257.93,62.98,1.0
293.61,87.15,1.0
-326.65,-118.41,0.0
293.66,77.37,1.0
276.09,64.63,1.0
280.17,93.3,1.0
265.84,32.47,1.0
273.16,55.43,1.0
272.28,64.11,1.0
249.47,40.45,1.0
242.63,54.13,1.0
218.61,44.02,1.0
270.35,44.25,1.0
276.41,48.71,1.0
269.17,60.17,1.0
285.67,49.97,1.0
279.38,50.43,1.0
267.36,57.15,1.0
246.6,56.25,1.0
248.24,44.46,1.0
254.14,50.99,1.0
274.11,62.94,1.0
229.21,40.97,1.0
270.6,57.25,1.0
253.66,53.68,1.0
246.59,52.06,1.0
141.64,46.24,0.0
254.91,50.67,1.0
276.95,29.32,1.0
235.0,41.8,1.0
241.82,58.42,1.0
274.47,53.4,1.0
101.68,60.34,0.0
255.11,46.11,1.0
158.81,53.69,0.0
268.27,55.58,1.0
286.75,81.93,1.0
276.09,70.43,1.0
282.12,65.39,1.0
285.33,49.25,1.0
222.56,36.6,1.0
289.85,73.34,1.0
271.38,78.49,1.0
63.06,41.64,0.0
292.63,-17.05,1.0
262.93,55.45,1.0
271.56,53.06,1.0
261.36,55.64,1.0
264.13,56.12,1.0
223.31,45.74,1.0
273.44,87.14,1.0
258.99,64.03,1.0
251.67,56.48,1.0
278.32,52.77,1.0
225.82,37.16,1.0
251.75,62.34,1.0
292.14,46.87,1.0
268.4,44.93,1.0
273.18,58.67,1.0
246.3,56.6,1.0
254.95,50.77,1.0
248.7,59.6,1.0
254.15,50.3,1.0
272.35,55.12,1.0
259.2,58.92,1.0
296.21,46.76,1.0
258.87,64.89,1.0
251.04,55.06,1.0
290.75,52.53,1.0
297.39,81.89,1.0
245.16,53.0,1.0
